record_uid,subject_id,labelled_reps,detected_reps,median_push_duration_s,median_first_half_accel_rms_g,median_second_half_accel_rms_g,median_second_to_first_accel_energy,first_half_late_to_early_energy,second_half_late_to_early_energy,candidate_fatigue_sensitive_half
singleonly_subject001_Chest_Press_(rack)_record0001,3,20,20,1.12,0.19360514555748287,0.17330218242907935,0.9369241692047505,1.0172729296144993,0.9931649914998989,none
singleonly_subject001_Chest_Press_(rack)_record0002,3,15,14,1.07,0.12535392197611583,0.098926294714381,0.7958930649026521,0.8143486578018722,0.6013882554120772,second
singleonly_subject016_Chest_Press_(rack)_record0001,10004,20,19,1.3,0.10837790478753515,0.11013965316733511,1.0092458345240802,0.9743274105865172,1.2385830530799653,none
singleonly_subject017_Chest_Press_(rack)_record0001,10005,15,13,1.18,0.0966219228480064,0.06617961905173854,0.6921324992524306,1.1509213685040318,1.0321477397569088,none
singleonly_subject033_Chest_Press_(rack)_record0001,502,22,22,1.16,0.161793641175611,0.14269917074196076,0.8853692759152005,1.0819589705112924,1.1118766552353778,none
singleonly_subject035_Chest_Press_(rack)_record0001,512,19,18,0.95,0.15010387928327043,0.17896344441281326,1.2021682325520766,1.1664925401180752,1.1633005096949787,none
singleonly_subject052_Chest_Press_(rack)_record0001,526,10,8,0.83,0.14416820610499903,0.07636273484663783,0.5342406192026543,0.8039373415288779,0.9503029551999136,first
singleonly_subject052_Chest_Press_(rack)_record0002,526,10,7,1.82,0.1442474187087298,0.11652634984976126,0.7583086277996288,0.9523712804273979,0.8441756547629243,second
singleonly_subject052_Chest_Press_(rack)_record0003,526,10,9,1.3,0.1306854481467481,0.10792234526955305,0.7324941115830853,1.0879811034969875,0.4978414284944012,second
singleonly_subject058_Chest_Press_(rack)_record0001,247,15,14,2.26,0.09767592152959419,0.07107317079414585,0.7310755340637548,0.8221331340601298,1.0529203709188781,first
singleonly_subject059_Chest_Press_(rack)_record0001,248,16,23,0.9,0.12019005974484505,0.08227208807500783,0.6455117189194378,0.6811043336108861,1.1118564175701695,first
singleonly_subject059_Chest_Press_(rack)_record0002,248,16,14,1.54,0.09351922849022441,0.08365171497263013,0.8587466605655367,1.5016523617221014,0.6020501851393092,second
singleonly_subject069_Chest_Press_(rack)_record0001,543,9,10,2.37,0.10366983069841042,0.07244301613970014,0.6574093040470512,0.7300038987181086,0.7960327392274711,first
singleonly_subject069_Chest_Press_(rack)_record0002,543,13,10,1.96,0.10230641727626498,0.14313030012034272,1.3916039765732195,0.8520662712545631,0.9234901955431037,first
singleonly_subject076_Chest_Press_(rack)_record0001,454,20,19,1.08,0.17278786938248902,0.1838846474831429,1.17890772708162,0.8391827603560147,0.9311568357968856,first
singleonly_subject080_Chest_Press_(rack)_record0001,560,15,14,1.37,0.08194978813901087,0.14891690326581072,1.8070152980005565,1.0379192231381709,1.0388721479152412,none
singleonly_subject081_Chest_Press_(rack)_record0001,536,21,20,1.27,0.0862688659497941,0.13035057101134354,1.5201048934084125,1.0840248578718608,1.2030086047709083,none
singleonly_subject083_Chest_Press_(rack)_record0001,509,15,14,2.14,0.058359414468578064,0.07685271305473168,1.2439991259964018,0.623097558798306,0.8046979069312041,first
singleonly_subject086_Chest_Press_(rack)_record0001,570,20,15,2.5,0.1013376949657276,0.10624310606177376,1.1249026446864234,0.9633714523437205,0.693390311004449,second
singleonly_subject086_Chest_Press_(rack)_record0002,570,21,11,2.94,0.09765074231640813,0.10652545335753771,1.027726155868034,0.49026213550410663,0.6944743133733342,first
singleonly_subject087_Chest_Press_(rack)_record0001,576,20,18,2.0700000000000003,0.1204360679522758,0.09053652451417879,0.8831005456088119,1.0244519681660866,0.7776103362318477,second
singleonly_subject089_Chest_Press_(rack)_record0001,579,15,16,1.81,0.1500723442141928,0.09020598342736871,0.5645614009106363,1.002745470245191,0.743604914247863,second
singleonly_subject089_Chest_Press_(rack)_record0002,579,11,11,1.28,0.10470011796365909,0.1303929097173248,1.3370573527102207,1.0970150298111359,1.5760087823384217,none
singleonly_subject089_Chest_Press_(rack)_record0003,579,14,14,1.12,0.16971452567727963,0.1029165764738967,0.5866414507512291,0.8788743843599518,0.861960449729387,second
singleonly_subject089_Chest_Press_(rack)_record0004,579,9,8,2.09,0.1435125008649236,0.11460559922574143,0.7957918408123825,0.9793224316550573,1.3731936513214649,none
singleonly_subject091_Chest_Press_(rack)_record0001,564,20,21,1.22,0.1169387431232412,0.14619541016354598,1.2167739781363514,0.8974412003740678,0.8783941831808443,second
singleonly_subject092_Chest_Press_(rack)_record0001,231,21,17,1.36,0.08310215568576644,0.08222158305771515,1.1267104716604026,0.7528770500929659,0.9160095220741326,first
singleonly_subject093_Chest_Press_(rack)_record0001,549,3,2,1.33,0.15195644100084876,0.06109715917167054,0.4015987221990978,1.0,1.0,none
singleonly_subject093_Chest_Press_(rack)_record0002,549,20,20,1.18,0.12424377217581725,0.05278894723319415,0.416650766940344,0.9861672398545543,1.2602310841394622,none
singleonly_subject094_Chest_Press_(rack)_record0001,590,20,11,0.28,0.10793614951197482,0.13656613811944399,1.4855301267049146,0.44288369338273814,1.7285490168334217,first
