record_uid,subject_id,rep_index,labelled_reps,detected_reps,push_duration_s,progress_rate_per_s_first,progress_rate_per_s_second,dynamic_accel_rms_g_first,dynamic_accel_rms_g_second,second_to_first_progress_rate,second_to_first_accel_energy,lower_acceleration_half
singleonly_subject001_Chest_Press_(rack)_record0001,3,1,20,20,1.1,0.9076202234169578,0.9105615947648602,0.16503171110616216,0.17496460852895118,1.0032407512217267,1.0601878109135,first
singleonly_subject001_Chest_Press_(rack)_record0001,3,2,20,20,1.02,0.9636902098740473,0.9970941038514428,0.24471985516554443,0.2005432996564742,1.03466248140236,0.8194811145209843,second
singleonly_subject001_Chest_Press_(rack)_record0001,3,3,20,20,1.2,0.9879037927042927,0.678762873962374,0.19480134553971187,0.19499509635354917,0.6870738618224403,1.000994607164034,first
singleonly_subject001_Chest_Press_(rack)_record0001,3,4,20,20,1.06,0.8677414832518808,1.0190509695783077,0.2077199033251361,0.16707669039317427,1.1743716178687127,0.8043364536505462,second
singleonly_subject001_Chest_Press_(rack)_record0001,3,5,20,20,1.06,1.0735981398745034,0.8131943129556851,0.1958015202484687,0.18262089364073272,0.7574475800141962,0.9326837371282409,second
singleonly_subject001_Chest_Press_(rack)_record0001,3,6,20,20,1.14,1.0354899526613213,0.7188960122509597,0.19335117556755685,0.17341357569675284,0.6942568688409956,0.8968839997363356,second
singleonly_subject001_Chest_Press_(rack)_record0001,3,7,20,20,1.18,0.7897582249557275,0.9051570292815607,0.167478644069338,0.16078741299966876,1.1461191547986758,0.9600472579244254,second
singleonly_subject001_Chest_Press_(rack)_record0001,3,8,20,20,1.16,0.9090934225370348,0.815044508497448,0.16126060424685976,0.1599433813403376,0.8965464805837868,0.991831712942699,second
singleonly_subject001_Chest_Press_(rack)_record0001,3,9,20,20,1.12,0.8736835533813758,0.9120307323329097,0.18468754972552143,0.17382138409903328,1.0438913824154301,0.9411646012812601,second
singleonly_subject001_Chest_Press_(rack)_record0001,3,10,20,20,1.2,1.0476676081821723,0.6189990584844944,0.19585224549753533,0.19426401274919397,0.5908353504968349,0.9918906584690583,second
singleonly_subject001_Chest_Press_(rack)_record0001,3,11,20,20,1.12,0.9763028195870154,0.8094114661272702,0.1683405356918317,0.1672045442524064,0.8290577983475028,0.9932518247327854,second
singleonly_subject001_Chest_Press_(rack)_record0001,3,12,20,20,1.14,0.8422361430140304,0.9121498218982504,0.19130528293737284,0.1654033544230703,1.0830095923383514,0.8646042173190691,second
singleonly_subject001_Chest_Press_(rack)_record0001,3,13,20,20,1.14,0.8378366130526861,0.9165493518595947,0.185118973824194,0.16480503276143374,1.093947599783347,0.8902654836340426,second
singleonly_subject001_Chest_Press_(rack)_record0001,3,14,20,20,1.16,0.8489564585656554,0.8751814724688275,0.17682569155813427,0.17319078916140587,1.0308908821395626,0.9794435844435345,second
singleonly_subject001_Chest_Press_(rack)_record0001,3,15,20,20,1.04,0.9372135942225989,0.9858633288543242,0.201795959549584,0.18406802616645992,1.0519089084191948,0.9121492153624212,second
singleonly_subject001_Chest_Press_(rack)_record0001,3,16,20,20,1.12,1.0243544678326393,0.7613598178816462,0.17377177098707666,0.17107337605638123,0.7432581609104071,0.9844716151802578,second
singleonly_subject001_Chest_Press_(rack)_record0001,3,17,20,20,1.02,0.9449622925512601,1.0158220211742301,0.19555376204657762,0.1845558462554069,1.074986831941896,0.9437601420904846,second
singleonly_subject001_Chest_Press_(rack)_record0001,3,18,20,20,1.0,1.0258503308489197,0.9741496691510803,0.2061504261056948,0.16775267293195414,0.9496021396658753,0.8137391520401036,second
singleonly_subject001_Chest_Press_(rack)_record0001,3,19,20,20,1.06,1.037234572147554,0.8495578806826347,0.19385911554740887,0.15922568772223805,0.8190605129210629,0.8213474371459148,second
singleonly_subject001_Chest_Press_(rack)_record0001,3,20,20,20,0.5,3.4677447438066222,0.5322552561933778,0.32716062787365807,0.1972159519737306,0.15348743795055372,0.6028107760261754,second
singleonly_subject001_Chest_Press_(rack)_record0002,3,1,15,14,1.06,0.9568166299455598,0.9299758228846288,0.1384041130116649,0.13886733732882803,0.9719478046044641,1.0033468970472295,first
singleonly_subject001_Chest_Press_(rack)_record0002,3,2,15,14,1.08,0.7861557147980572,1.0656961370537945,0.15362619740538566,0.08968085279737859,1.3555789482844933,0.5837601549215632,second
singleonly_subject001_Chest_Press_(rack)_record0002,3,3,15,14,0.76,2.0303357093729497,0.6012432379954714,0.138371609273889,0.06494847184251949,0.29612996275436626,0.46937715173899763,second
singleonly_subject001_Chest_Press_(rack)_record0002,3,4,15,14,0.76,1.8039982197092574,0.8275807276591636,0.11497177080732845,0.1151726785850841,0.45874808445905296,1.0017474531038784,first
singleonly_subject001_Chest_Press_(rack)_record0002,3,5,15,14,1.06,1.1984306205172428,0.6883618323129458,0.14252098365415605,0.12050752558169565,0.5743860516646752,0.8455423369384073,second
singleonly_subject001_Chest_Press_(rack)_record0002,3,6,15,14,1.18,1.004245359960235,0.6906698942770533,0.12805789423029032,0.0986532590747537,0.6877501473388951,0.7703801446035229,second
singleonly_subject001_Chest_Press_(rack)_record0002,3,7,15,14,0.96,1.433746982157393,0.6495863511759405,0.1162865316939158,0.12851688798761832,0.45306902770145163,1.1051743148200062,first
singleonly_subject001_Chest_Press_(rack)_record0002,3,8,15,14,1.36,0.5486220660705307,0.9219661692235869,0.12264994972194132,0.1170047828183379,1.680512371343553,0.9539733451468873,second
singleonly_subject001_Chest_Press_(rack)_record0002,3,9,15,14,1.12,1.3904599698173046,0.395254315896981,0.12076772283274707,0.09919933035400828,0.284261556950046,0.8214059852017814,second
singleonly_subject001_Chest_Press_(rack)_record0002,3,10,15,14,1.18,0.878238557208651,0.8166766970286373,0.10796462228823683,0.07452619890951868,0.9299030318417371,0.6902835144511834,second
singleonly_subject001_Chest_Press_(rack)_record0002,3,11,15,14,1.1,1.47131409083912,0.34686772734269794,0.14170004052415816,0.047683902572209017,0.2357536908688697,0.3365129776662236,second
singleonly_subject001_Chest_Press_(rack)_record0002,3,12,15,14,0.78,2.479571988689682,0.08453057541288177,0.13799461942162355,0.06926349624541964,0.03409079300720426,0.501928963141632,second
singleonly_subject001_Chest_Press_(rack)_record0002,3,13,15,14,1.06,1.1070996165116844,0.7796928363185041,0.11270920366530793,0.06882287641666285,0.7042661967269095,0.610623393463356,second
singleonly_subject001_Chest_Press_(rack)_record0002,3,14,15,14,1.8,0.9045324937130408,0.2065786173980703,0.09077871317196703,0.3243235783251286,0.2283816433725669,3.572683143357021,first
singleonly_subject016_Chest_Press_(rack)_record0001,10004,1,20,19,1.42,0.6897284486626295,0.7187222555627227,0.11313054313222864,0.11417652941364856,1.0420365535977407,1.0092458345240802,first
singleonly_subject016_Chest_Press_(rack)_record0001,10004,2,20,19,1.7,0.7832941965179523,0.39317639171734187,0.107932108107343,0.10157454067963081,0.5019523870662697,0.9410966065687394,second
singleonly_subject016_Chest_Press_(rack)_record0001,10004,3,20,19,1.64,0.8076508535022487,0.41186134161970256,0.10497173984645919,0.09165961926052645,0.5099497385952503,0.8731837673129529,second
