record_uid,accel_x_g_mean,accel_y_g_mean,accel_z_g_mean,gyro_x_dps_std,gyro_y_dps_std,gyro_z_dps_std,accel_x_g_rms,accel_y_g_rms,accel_z_g_rms,gyro_x_dps_rms,gyro_y_dps_rms,gyro_z_dps_rms,accel_mag_rms,exercise
singleonly_subject001_Chest_Press_(rack)_record0001,1.0032111856443877,-0.00702832032539109,-0.049316710937647446,25.77775128809118,42.08223931492441,12.391296202712851,1.020689466050374,0.11357975204970701,0.17027593530973198,27.865593913988565,42.07462091591396,12.396304973696576,1.0410097215336054,Chest Press (rack)
singleonly_subject001_Chest_Press_(rack)_record0002,0.9855531459376528,0.022483083122592076,0.14262505707030174,30.53160060619755,34.882939435391975,13.357547356670821,0.9970702667989475,0.15748368931376552,0.20880500978214264,32.17370893361621,34.95391253605098,13.35901240048978,1.0308005439679004,Chest Press (rack)
singleonly_subject007_Chest_Press_(rack)_record0001,0.9992301617034635,0.05653301601938981,-0.09090228501397263,12.093999549769093,14.479312479961465,9.330805641999286,1.0004208181302312,0.07297106948485739,0.11339092046312534,14.458106762100654,14.47895293731708,9.33042922731413,1.0094672313520632,Chest Press (rack)
singleonly_subject016_Chest_Press_(rack)_record0001,0.9788463719447926,-0.16245904451283724,0.03219281640250721,16.55032396342482,23.588430143147672,11.440701607949524,0.9849336640551536,0.1816790438354976,0.06877486187754017,19.338984436504578,23.60875197499469,11.645544686079004,1.0039081527631728,Chest Press (rack)
singleonly_subject017_Chest_Press_(rack)_record0001,0.9478121798992211,-0.032919772032927466,-0.3116806187901597,23.167756801166387,32.4690638269337,9.884609345626822,0.9496047694753524,0.0784780616569339,0.3537800285760155,25.308292175082347,32.46752433443755,10.24780007685406,1.0163996915539737,Chest Press (rack)
singleonly_subject033_Chest_Press_(rack)_record0001,1.0033555644258927,-0.057099038224360375,-0.07693634360253038,29.547034363754687,34.54849753940099,16.88653301963211,1.0155480660572893,0.10771808711366543,0.12295034716209038,31.174911698723584,34.5670381937137,16.99405731964509,1.0286193895855773,Chest Press (rack)
singleonly_subject035_Chest_Press_(rack)_record0001,0.9792956212014764,0.25627780982625264,-0.2748460419408496,24.347868073086374,40.23253894489976,21.832789892383573,0.9882057638093792,0.30105325577782116,0.31771209868228784,24.35347188912823,40.261817963716254,21.884472933923483,1.0807981643626199,Chest Press (rack)
singleonly_subject052_Chest_Press_(rack)_record0001,1.0229637079320237,-0.14281124491376634,-0.1879506579863122,20.162974163839596,13.25041443429293,35.58006643737528,1.0311497369298201,0.24216285274101995,0.21261031312295095,20.496658487074274,13.46014562796287,35.56429579999567,1.0803313253184623,Chest Press (rack)
singleonly_subject052_Chest_Press_(rack)_record0002,1.022097092119054,-0.06785705501582272,-0.020413302662138002,30.266794618618526,14.82641141947445,36.05991080711383,1.0308748910592938,0.21250024508458779,0.1366487747648168,30.92863469041553,14.994659367874297,36.04624697872054,1.0613822510397686,Chest Press (rack)
singleonly_subject052_Chest_Press_(rack)_record0003,1.022238832030629,-0.0571244542293047,-0.024115134176238257,25.331825845933626,15.338473035055657,34.8255330502057,1.0310750333794396,0.18002841998797064,0.12172769002760699,25.676971495802153,15.39010802453582,34.813319221747356,1.0537284218342196,Chest Press (rack)
singleonly_subject058_Chest_Press_(rack)_record0001,1.0137236944051846,0.06891595149023881,-0.15767986183044694,10.092082167566527,25.42628540376412,13.743040216106554,1.0155796709852907,0.1330120647369764,0.21508273352869922,10.230617579785177,25.45481032741727,13.746933006404438,1.0465920216332447,Chest Press (rack)
singleonly_subject059_Chest_Press_(rack)_record0001,0.9895739063374666,-0.12962342630794585,-0.14330577461203955,23.511880620068364,24.140951943633812,24.424382184987003,0.9965057662983287,0.17926745900271318,0.175026114260825,24.848315353514575,24.137294215345563,24.42161463326094,1.027518712625883,Chest Press (rack)
singleonly_subject059_Chest_Press_(rack)_record0002,0.9955570817738851,-0.03030848818062557,-0.04784086348496849,30.326176824980976,26.856425920835346,17.84670926130114,1.0008061236602301,0.09804506377419005,0.13387931929048205,32.15588854073132,26.882049563360443,17.965832558060317,1.014470011296531,Chest Press (rack)
singleonly_subject069_Chest_Press_(rack)_record0001,0.9745171931684888,0.33647086938910087,-0.037192183009326196,12.434695835242195,10.072188055287922,14.877994756757662,0.9790254581631213,0.36079821547172763,0.12279205437970293,12.569755631336811,10.135592730870513,14.88915687622423,1.0505922561288372,Chest Press (rack)
singleonly_subject069_Chest_Press_(rack)_record0002,0.9772931347962275,0.3404072804626732,-0.17268383154275604,23.751074458834363,36.107812361596565,24.451080114107736,1.0025514700744007,0.36101644062431204,0.21283422935797147,23.80500582081233,36.132337704376376,24.464841324117778,1.0866189441270528,Chest Press (rack)
