record_uid,subject_id,exercise,labelled_reps,n_samples,duration_s,sample_rate_hz,seconds_per_labelled_rep,accel_mag_mean_g,accel_mag_std_g,accel_dynamic_rms_g,gyro_mag_rms_dps,dominant_accel_range_g,tempo_period_s,accel_x_g_rms,accel_y_g_rms,accel_z_g_rms,gyro_x_dps_rms,gyro_y_dps_rms,gyro_z_dps_rms
singleonly_subject001_Chest_Press_(rack)_record0001,3,Chest Press (rack),20,1746,34.89976694101733,50.00033389762038,1.7449883470508667,1.0246719731763527,0.18370788691385692,0.1853572064279377,51.96569470716307,1.500763878728639,1.76,1.020689466050374,0.11357975204970701,0.17027593530973198,27.865593913988565,42.07462091591396,12.396304973696576
singleonly_subject001_Chest_Press_(rack)_record0002,3,Chest Press (rack),15,1624,32.45979354698716,50.00031801344107,2.1639862364658105,1.020549406742202,0.1450126540777005,0.1464614214054858,49.349637895727234,2.6543592986096067,2.04,0.9970702667989475,0.15748368931376552,0.20880500978214264,32.17370893361621,34.95391253605098,13.35901240048978
singleonly_subject007_Chest_Press_(rack)_record0001,81,Chest Press (rack),20,4017,80.31965629680349,50.00021395957874,4.015982814840174,1.0083070969081325,0.04838273967329776,0.049090705406779435,22.488526827501648,0.9640366785078069,0.5,1.0004208181302312,0.07297106948485739,0.11339092046312534,14.458106762100654,14.47895293731708,9.33042922731413
singleonly_subject016_Chest_Press_(rack)_record0001,10004,Chest Press (rack),20,2244,44.85983695403854,50.000181728214514,2.2429918477019273,0.9972836279989721,0.1151388054027551,0.11517084347360436,32.66478531825435,0.7863475458866026,2.26,0.9849336640551536,0.1816790438354976,0.06877486187754017,19.338984436504578,23.60875197499469,11.645544686079004
singleonly_subject017_Chest_Press_(rack)_record0001,10005,Chest Press (rack),15,1865,37.27984154544208,50.0002125204284,2.485322769696139,1.0125353799382144,0.08854624421390676,0.08942915136902624,42.422484552908955,0.7732869689165927,2.58,0.9496047694753524,0.0784780616569339,0.3537800285760155,25.308292175082347,32.46752433443755,10.24780007685406
singleonly_subject033_Chest_Press_(rack)_record0001,502,Chest Press (rack),22,2185,43.67966002179355,50.00038917222144,1.985439091899707,1.0169780780122437,0.15431603116309403,0.15524719838669823,49.553539057188004,1.0508923838406505,1.98,1.0155480660572893,0.10771808711366543,0.12295034716209038,31.174911698723584,34.5670381937137,16.99405731964509
singleonly_subject035_Chest_Press_(rack)_record0001,512,Chest Press (rack),19,1704,34.05977895556589,50.00032449481601,1.7926199450297837,1.0662875309369493,0.17650941464407183,0.18854604269437714,51.89446728114292,1.4393692511206337,1.76,0.9882057638093792,0.30105325577782116,0.31771209868228784,24.35347188912823,40.261817963716254,21.884472933923483
singleonly_subject052_Chest_Press_(rack)_record0001,526,Chest Press (rack),10,1095,21.87992691013278,50.00016702493459,2.187992691013278,1.0722783845721777,0.13166183366346437,0.15019654896165027,43.19846832019987,1.664739283208006,1.94,1.0311497369298201,0.24216285274101995,0.21261031312295095,20.496658487074274,13.46014562796287,35.56429579999567
singleonly_subject052_Chest_Press_(rack)_record0002,526,Chest Press (rack),10,814,16.259945683672413,50.00016702493552,1.6259945683672412,1.0528528321882533,0.13428773799353289,0.14431430436980044,49.80714983436289,2.5652101175308974,1.96,1.0308748910592938,0.21250024508458779,0.1366487747648168,30.92863469041553,14.994659367874297,36.04624697872054
singleonly_subject052_Chest_Press_(rack)_record0003,526,Chest Press (rack),10,1117,22.319925440318002,50.00016702493518,2.2319925440318,1.0459637242500313,0.12768505994923476,0.1357060738551248,45.914371229914515,2.284943440275622,1.94,1.0310750333794396,0.18002841998797064,0.12172769002760699,25.676971495802153,15.39010802453582,34.813319221747356
