record_uid,gravity_mag,tilt_vertical_rms,tilt_horizontal_rms,exercise
singleonly_subject001_Chest_Press_(rack)_record0001,1.0044472202491885,0.19059436281354747,0.10540238034802261,Chest Press (rack)
singleonly_subject001_Chest_Press_(rack)_record0002,0.9960734909626942,0.15289824674421107,0.1372202889745682,Chest Press (rack)
singleonly_subject007_Chest_Press_(rack)_record0001,1.0049478212220473,0.04947947465546461,0.044657072017185384,Chest Press (rack)
singleonly_subject016_Chest_Press_(rack)_record0001,0.9927585499210938,0.11538958892684516,0.044186142602924146,Chest Press (rack)
singleonly_subject017_Chest_Press_(rack)_record0001,0.9982867563407972,0.08940893780097323,0.07180701555179513,Chest Press (rack)
singleonly_subject033_Chest_Press_(rack)_record0001,1.0079195849855658,0.15843979112216436,0.06714712424738557,Chest Press (rack)
singleonly_subject035_Chest_Press_(rack)_record0001,1.0489225787846679,0.1774704144040317,0.09321466801332491,Chest Press (rack)
singleonly_subject052_Chest_Press_(rack)_record0001,1.0498453453996652,0.1382896708688446,0.11733249901492816,Chest Press (rack)
singleonly_subject052_Chest_Press_(rack)_record0002,1.0245505104967847,0.13433397986197362,0.1555035663310679,Chest Press (rack)
singleonly_subject052_Chest_Press_(rack)_record0003,1.0241176556815523,0.13528680448998906,0.12269153598239303,Chest Press (rack)
singleonly_subject058_Chest_Press_(rack)_record0001,1.0282256930242357,0.07768200849152353,0.0937615820994267,Chest Press (rack)
singleonly_subject059_Chest_Press_(rack)_record0001,1.0082635041441106,0.11773561561136564,0.09800346248977704,Chest Press (rack)
singleonly_subject059_Chest_Press_(rack)_record0002,0.9971666138338752,0.10456066386526029,0.08699940791501408,Chest Press (rack)
singleonly_subject069_Chest_Press_(rack)_record0001,1.031639309160642,0.08514176840804583,0.09408189403189444,Chest Press (rack)
singleonly_subject069_Chest_Press_(rack)_record0002,1.0491895413070593,0.21994971895565182,0.13351266681004204,Chest Press (rack)
singleonly_subject076_Chest_Press_(rack)_record0001,1.0073756818829294,0.19010835352551986,0.11817009624499608,Chest Press (rack)
singleonly_subject080_Chest_Press_(rack)_record0001,1.040934178013769,0.11051802947813548,0.07361255386941784,Chest Press (rack)
singleonly_subject081_Chest_Press_(rack)_record0001,1.0212937413602683,0.11310211793077594,0.10468700310340796,Chest Press (rack)
singleonly_subject083_Chest_Press_(rack)_record0001,1.0096819280723246,0.07368207280293172,0.11533286612712244,Chest Press (rack)
singleonly_subject086_Chest_Press_(rack)_record0001,1.0227778646305743,0.10660472408221273,0.1398847055397938,Chest Press (rack)
singleonly_subject086_Chest_Press_(rack)_record0002,0.9942623883430229,0.11945434310395103,0.13424740834012822,Chest Press (rack)
singleonly_subject087_Chest_Press_(rack)_record0001,1.0059561827244552,0.1370474831557002,0.10833076190658764,Chest Press (rack)
singleonly_subject089_Chest_Press_(rack)_record0001,1.028181698396374,0.11901727675424333,0.09075236452984563,Chest Press (rack)
singleonly_subject089_Chest_Press_(rack)_record0002,1.0263830204234357,0.11115793212435814,0.09606307181320455,Chest Press (rack)
singleonly_subject089_Chest_Press_(rack)_record0003,1.0069983020942992,0.15730448874189287,0.09818962343736751,Chest Press (rack)
singleonly_subject089_Chest_Press_(rack)_record0004,0.9904454718544037,0.137158780401244,0.11815702784302767,Chest Press (rack)
singleonly_subject091_Chest_Press_(rack)_record0001,1.0192348140375453,0.13357142430271066,0.08364619322939602,Chest Press (rack)
singleonly_subject092_Chest_Press_(rack)_record0001,0.9991060197081499,0.08333130414244357,0.06783232861944684,Chest Press (rack)
singleonly_subject093_Chest_Press_(rack)_record0001,1.0450081963220321,0.09833492384490584,0.07226217239168065,Chest Press (rack)
singleonly_subject093_Chest_Press_(rack)_record0002,1.0398473594875692,0.09344401332100005,0.09479409812508184,Chest Press (rack)
singleonly_subject094_Chest_Press_(rack)_record0001,0.9957146832210246,0.1441626469030597,0.12303233494058995,Chest Press (rack)
singleonly_subject001_Squat_Rack_Shoulder_Press_record0001,0.9924518249969596,0.1824222044462449,0.1040894139633098,Squat Rack Shoulder Press
singleonly_subject007_Squat_Rack_Shoulder_Press_record0001,0.9556616956923981,0.04684454872128101,0.11954337249872708,Squat Rack Shoulder Press
singleonly_subject014_Squat_Rack_Shoulder_Press_record0001,1.0660064741383173,0.10952804575282783,0.09817887883349419,Squat Rack Shoulder Press
singleonly_subject014_Squat_Rack_Shoulder_Press_record0002,1.067350425592162,0.10362908748175512,0.10300326979087737,Squat Rack Shoulder Press
singleonly_subject015_Squat_Rack_Shoulder_Press_record0001,1.087067285190584,0.1443192881592705,0.08624654459989982,Squat Rack Shoulder Press
singleonly_subject033_Squat_Rack_Shoulder_Press_record0001,1.0184266583429313,0.11532690318506776,0.09037046704653454,Squat Rack Shoulder Press
singleonly_subject053_Squat_Rack_Shoulder_Press_record0001,1.022712547527019,0.0679677267104713,0.09014615668624598,Squat Rack Shoulder Press
singleonly_subject054_Squat_Rack_Shoulder_Press_record0001,0.9935825775964393,0.08010065165139604,0.09122566972971427,Squat Rack Shoulder Press
singleonly_subject054_Squat_Rack_Shoulder_Press_record0002,1.0120904681717657,0.0698033012218993,0.06820153042187913,Squat Rack Shoulder Press
singleonly_subject055_Squat_Rack_Shoulder_Press_record0001,1.0242173677316662,0.10141747905579387,0.08513673571156152,Squat Rack Shoulder Press
singleonly_subject057_Squat_Rack_Shoulder_Press_record0001,0.9762004378165453,0.1381108089488977,0.09589923228314132,Squat Rack Shoulder Press
singleonly_subject057_Squat_Rack_Shoulder_Press_record0002,0.9734670260415479,0.12768584834065663,0.1044958616388468,Squat Rack Shoulder Press
singleonly_subject065_Squat_Rack_Shoulder_Press_record0001,1.015122962781864,0.04620192908996047,0.06170023666834087,Squat Rack Shoulder Press
singleonly_subject066_Squat_Rack_Shoulder_Press_record0001,0.9910116200854642,0.1213075558212674,0.07301418594504536,Squat Rack Shoulder Press
singleonly_subject066_Squat_Rack_Shoulder_Press_record0002,0.9861366393112233,0.10027886261394643,0.07932221014208989,Squat Rack Shoulder Press
singleonly_subject067_Squat_Rack_Shoulder_Press_record0001,1.0514234811685679,0.10519546347872412,0.07352145973116186,Squat Rack Shoulder Press
singleonly_subject068_Squat_Rack_Shoulder_Press_record0001,1.0500070781712392,0.08806058529525286,0.08589797723017749,Squat Rack Shoulder Press
singleonly_subject069_Squat_Rack_Shoulder_Press_record0001,1.03640627687759,0.08078184875473342,0.08772843912085013,Squat Rack Shoulder Press
singleonly_subject071_Squat_Rack_Shoulder_Press_record0001,0.9436215325102618,0.09661638516830749,0.13236072816120417,Squat Rack Shoulder Press
singleonly_subject072_Squat_Rack_Shoulder_Press_record0001,0.9909092438436419,0.05600191512400466,0.0762579656723005,Squat Rack Shoulder Press
singleonly_subject073_Squat_Rack_Shoulder_Press_record0001,0.9793543606590724,0.10759784622592498,0.09500304525345268,Squat Rack Shoulder Press
singleonly_subject074_Squat_Rack_Shoulder_Press_record0001,1.0251552250352673,0.11269960616514317,0.11436073863285459,Squat Rack Shoulder Press
