record_uid,aX_rms,aYZPC1_rms,gPC1_rms,exercise
singleonly_subject001_Chest_Press_(rack)_record0001,1.020689466050374,0.16591790975456921,45.521988660883004,Chest Press (rack)
singleonly_subject001_Chest_Press_(rack)_record0002,0.9970702667989475,0.160609943102746,35.88209576889052,Chest Press (rack)
singleonly_subject007_Chest_Press_(rack)_record0001,1.0004208181302312,0.06859194230568083,14.560275286339195,Chest Press (rack)
singleonly_subject016_Chest_Press_(rack)_record0001,0.9849336640551536,0.08809664894890862,25.898063014726205,Chest Press (rack)
singleonly_subject017_Chest_Press_(rack)_record0001,0.9496047694753524,0.17108762465539887,32.974486398678515,Chest Press (rack)
singleonly_subject033_Chest_Press_(rack)_record0001,1.0155480660572893,0.10350976164677886,44.06857354865097,Chest Press (rack)
singleonly_subject035_Chest_Press_(rack)_record0001,0.9882057638093792,0.19790144273128127,43.54093273206878,Chest Press (rack)
singleonly_subject052_Chest_Press_(rack)_record0001,1.0311497369298201,0.19560039505162052,36.8149681790756,Chest Press (rack)
singleonly_subject052_Chest_Press_(rack)_record0002,1.0308748910592938,0.20489761047951296,37.226671280278126,Chest Press (rack)
singleonly_subject052_Chest_Press_(rack)_record0003,1.0310750333794396,0.1717971565110607,35.53410831670289,Chest Press (rack)
singleonly_subject058_Chest_Press_(rack)_record0001,1.0155796709852907,0.17509472322638361,27.977249626410046,Chest Press (rack)
singleonly_subject059_Chest_Press_(rack)_record0001,0.9965057662983287,0.13386429498988467,34.11394636519764,Chest Press (rack)
singleonly_subject059_Chest_Press_(rack)_record0002,1.0008061236602301,0.1293727650778728,37.520082943430594,Chest Press (rack)
singleonly_subject069_Chest_Press_(rack)_record0001,0.9790254581631213,0.13381980610347455,16.603634482549555,Chest Press (rack)
singleonly_subject069_Chest_Press_(rack)_record0002,1.0025514700744007,0.1341769550164909,40.9292735508923,Chest Press (rack)
singleonly_subject076_Chest_Press_(rack)_record0001,0.9766795090699257,0.1830950056293788,37.13762346852869,Chest Press (rack)
singleonly_subject080_Chest_Press_(rack)_record0001,0.9987602279552446,0.15735801216415685,28.3279053736171,Chest Press (rack)
singleonly_subject081_Chest_Press_(rack)_record0001,1.0023260805307757,0.16651752845772227,32.62353125810969,Chest Press (rack)
singleonly_subject083_Chest_Press_(rack)_record0001,0.9935584451717303,0.1817892636869442,22.180980456629776,Chest Press (rack)
singleonly_subject086_Chest_Press_(rack)_record0001,0.9948879494700287,0.17906311235474429,29.691771158813353,Chest Press (rack)
singleonly_subject086_Chest_Press_(rack)_record0002,0.9982435528396663,0.18196760048022742,33.041003801274684,Chest Press (rack)
singleonly_subject087_Chest_Press_(rack)_record0001,1.0138172963809746,0.18991861811507899,30.740774310511803,Chest Press (rack)
singleonly_subject089_Chest_Press_(rack)_record0001,1.0147602498820725,0.14799823036581877,37.902088438938414,Chest Press (rack)
singleonly_subject089_Chest_Press_(rack)_record0002,1.0107614519084174,0.15830225193071204,35.20671414076071,Chest Press (rack)
singleonly_subject089_Chest_Press_(rack)_record0003,1.0136230163979743,0.16190326920313786,45.692751549737565,Chest Press (rack)
singleonly_subject089_Chest_Press_(rack)_record0004,0.9983226283287143,0.1976925314390081,39.22608927474685,Chest Press (rack)
